userName,score,at,content
Usnur Safani,5,6/25/2022 7:59,"Saya suka banget dgn tiktok bisa bnyk temen dn jg bisa ngilangin rasa suntuk saya tiktok bnr""buat saya suka"
Revalina Arauju,1,6/24/2022 14:01,Kenapa ya aku donload ko ga bisa ya mohon atas perhatian tolon perbaiki
Abdul Malik,5,6/23/2022 16:50,Aplikasi kasi ini bagus kita bisa bermain bisa pake filter
Iyang Poker,5,6/23/2022 6:20,Terimakasih buat aplikasi tiktok
Mia Mia,3,6/22/2022 11:44,Kenapa setiap saya posting video selalu saja di mute
Sandy Mungiel,3,6/22/2022 6:01,Tak kasih 3 dulu soal ny akun bru klo bisa fyp q kasih 5 y
Maria Lonely girls,5,6/21/2022 17:20,"Aplikasi tiktok sangat menghibur saya suka sekali, terima kasih tiktok"
Maulana Safa,5,6/21/2022 6:18,Aku duet video orang..dan video itu d hapus dengan alasan melanggar paduan komunitas...ko aneh nya malah kita yang kena dampak nya kna warning
Simplicio Da Costa,5,6/21/2022 0:01,Mantap.. Saya paling suka
Saepury js 45,5,6/19/2022 16:54,Jangan patah semangat
Doni Akbar,5,6/18/2022 16:58,Hallo tiktok kenapa live stream ku gaada fitur ke pc😭 asalnya ada loh tolong diprbaiki nama akunku @cimahiofficial
Lilis Wartasuko,5,6/18/2022 9:19,Saya ksih binta 5 krna tiktok sangat menghibur baget di saat lgi jenuh🥰
lia wati,3,6/17/2022 8:00,"Bagus banget, tapi ada yang kurang, soalnya pidio ku ga pernah fyp aku dah bikin susah susah, eh gada yang nonton"
Nidio Loreno,2,6/17/2022 7:27,Kenapa akun selalu private padahal sudah buka privatenya tapi vidio saya yang komen cuman teman saya saja yang follow saya nggak follow back nggak bissa saya laporkan masalahnya ehhh akun saya di kasih peringatan
Guntur Al Vathir,1,6/16/2022 23:41,"Gak jelas..tiap mau daftar kluar sendiri,,"
Izuel Braxi,5,6/15/2022 17:55,Sangat bagus apk ini
Mondi Copas,5,6/15/2022 6:17,"Bagi mudah lagi untuk live,jangan ada batasan followers"
Ester Oktaviana Halawa Ester,1,6/14/2022 0:58,Tik tok kok gitu sekarang mau cari barang biasanya langsung ada konten sekarang kok malah nama orang yg tampil payah😤
Moshca Official,5,6/13/2022 5:11,Mantap lahh seru aplikasi nya banyak video kocak asli recommended banget nih buat kamu para rebahan yg butuh hiburan
Dewi Damayanti,1,6/12/2022 22:10,Lama segitu jaringan bagus lohh kok lamasih menginstalnya
Ahmad Andreas,3,6/12/2022 10:03,"Bagus,tapi kok pas di instal lama banget"
Agus Shaggy,5,6/11/2022 12:44,keren buat ngilangin suntuk
Pedro maia De Carvalho,5,6/10/2022 23:41,Aplikasi sangat bagus.
Yani Yang,2,6/10/2022 19:54,Nyoba dulu klu bagus di tambahin lagi bintang nyah
Eva Semih,5,6/10/2022 19:13,"dengan app tiktok terasa terhibur ,ambil kebaikan buang yg buruk Semogah bermanfaat Tiktok untuk keluarga indo tuki.Thanks"
Agustinho Merantau,5,6/10/2022 13:54,Apk bgus sih tapi download nya lama bikin aku jadi sedikit marah 😁😏
Irfan Andi,3,6/10/2022 13:38,App keren buat hiburan
Stm Pentol,5,6/10/2022 4:07,Wow ini aplikasih sosmed terbaik sih menurut aku karna banya k yang main + jadi top nomor 1 di play store 😩🤞
Zeca Fernandes,5,6/10/2022 3:49,"Aplikasi nia bagus, dan sangat menghibur ......................"
nunung suryani,5,6/9/2022 15:07,Terima kasih admin tik tok sangat menghibur kmi
Novi Bily,5,6/8/2022 7:09,Sangat cocok dan memuaskan
Rafi azam,4,6/8/2022 5:56,"Kasih fitur cadangkan tema fyp dong, jdi kalo uninstall terus di instal lagi jadi sama fypnya kayak sebelum di install jdi ga perlu menyesuaikan lgi"
Lisa Channel,5,6/7/2022 21:54,Aq suka banget aplikasi tiktok sangat menghibur 👍👍👍😊
Anjas Arifin,5,6/7/2022 19:16,"Sangat keren 👍👍 mantap jiwa,,👍"
Ana Saroh,5,6/7/2022 15:30,Bagus sekali sangat puas
Yules Pratama,5,6/7/2022 11:37,Sangat menyenangkan/menghibur
Prast Oncom,5,6/6/2022 15:23,"Aplikasinya bagus saya suka karena banyak cewe"" umbar aurat yang pada joget"" lumayan buat cuci mata"
she Bima,5,6/4/2022 8:10,"Bagus keren,,tapi knpa skrang sering mati,,klo udah bikin cape cape vidionya malah mati kmbli ke beranda,,jdinya hilang vidio dapat bikin itu,jlaskan coba,,ini tiktok versi baru,,"
Deco Rizio,1,6/4/2022 5:13,Kenapa video saat di refresh videonya gak bisa yang lain terus ajah yang ada.
Adinda Adinda1234,5,6/3/2022 16:27,"Bayak mendapatkan informasi, dan ilmu pengetahuan yang cukup bermanfaat bagi saya, terimakasih atas adanya tiktok ini."
Penti Supenti,5,6/3/2022 7:06,Aplikasi yang sangat baik
Selvy Abdulrachman,2,6/3/2022 6:43,Susah di download lagi jika habis di upgrade
Josè Paulo,5,6/3/2022 2:26,Tiktok itu bagus tapi kenapa saya instal tidak bisa
Susilawati Nursaidah,3,6/2/2022 16:53,Aplikasi sangat bagus
Cucun Cunayah,5,6/1/2022 12:45,Kerja ku jdi ada yg nemenin semenjak download tiktok mksih
Eliin Susilawati,5,5/31/2022 20:09,Bagus banget keren
JOAVINO MENDONSA S,1,5/30/2022 23:11,gah bisa di update🤨😡
aira rheka berliana,5,5/30/2022 2:04,Keren tapi pas saya masuk tiktok itu kok sering ngebug
Sherly Badili,5,5/29/2022 11:00,"Alhamdulillah sy jg udh paham main tiktok.. bru kali in slx malas akhirx ada ketertarikan jg.. krn semua org menggunakan publikasi.. ini dn aplikasj2 lainnya.. bs digunalan,bkn hnya u hburan aja.. tp bs jg buat jualan online.. sprti phesion pakain dn lain sabagainya.. smga selalu aplikasi ini.. qt bs menggunakan sgn baik.."
Rohyani Yani,5,5/29/2022 1:51,Tik tok sangat menghibur dan apa yg ku cari pasti ada aku suka banget
umbelina Guterres,5,5/26/2022 9:28,"Tiktok ini saya suka bangat karna bisa bikin kita happy terrus apa lagi orang follow kita di tiktok kamu baniak,senan bangat"
Nicson Constancio,5,5/25/2022 13:24,Bagus banget tapi jarang fyp
Carla pinto,5,5/25/2022 9:08,"Keren bangat apliksi ini ,jdinya kta bsa nntn bsa mmbat vdeo yang bgs bgs ska gtu lo dan evek nya jva bgs sma nya mantap................................!"
Yati Yati,3,5/24/2022 16:32,Tiktok sangat menghibur. Tapi sayang sudah tdk lagi dapetin uang😭😭
Tester Opinion,3,5/22/2022 7:03,Bintang 3 dulu ya soalnya biasnya nge bug jadi😁😁😁
Akbar waroka,5,5/22/2022 4:51,Tik tok memberikan video2 yang terbaik
Savina Nurkamila,5,5/21/2022 11:49,Aplikasi nya bagus
Soares Soares,3,5/21/2022 3:16,Aplikasi ini sangat bagus buat kita guna kan
Maya Maya,5,5/21/2022 3:06,Alhamdulillah bnyk ilmu yg bisa di ambil dri TikTok Buang yg jelek'nya dan ambil sisi baik nya
Julio Madeira,5,5/21/2022 1:10,"Tidak bisa bicara banyak ,fix Aplksi Ok bangat❤️"
Juwita Sari,5,5/20/2022 11:27,Seneng bisa menghibur disaat LG gabut pasti lansung liat tik tok
Efied Tangan Jahil Make Up,5,5/20/2022 10:27,Nice.... trimakasih tiktok...
NINJA G,5,5/20/2022 0:02,tiktok sangat cringe dn tidak ramah bintang 1 tapi karna ada beberapa produser musik edm yg buat karya jadi ku kasih bintang 5
Bambang Samiaji,1,5/19/2022 9:20,"Apk nya suka keluar sendiri ,pas upload suka gagal mohon di perbaiki"
Vanesia Dacosta,5,5/17/2022 10:22,Gua suka baget sekali tiktok
Annah Ahmid,5,5/17/2022 8:57,"Buat hapy2 , sngt membantu menghilangkan stres"
Muhammad irvan Hasibuan,5,5/16/2022 4:10,Banyak Bug Seperti Bug mau Upload Video Malah Gak Bisa
anna nana aminh,1,5/14/2022 0:30,Knapa iy ko saya ga bsa bkin akun tiktok yg baru udah 7 bulan ga bsa bkin akun tiktok. tulisannya slalu akunmu d tangguhkan . it apa iy mksudnya.
Albert lawalata,5,5/11/2022 22:36,Aplikasi ini Sangat baik
khoirul Anwar,4,5/11/2022 15:37,Saya suka aplikasi tik tok karena dengan tik tok kita bisa posting karya kita untuk memberikan hiburan kepada orang orang
Anggi Rahmasari,4,5/11/2022 14:42,Suka lah ditiktok bisa live sampe 1000 followers bisa live ditiktok tapi banyak ada banned gitu hmmm 🙃 kasih 4 lah yah bintangnya
Natalina Freitas,5,5/10/2022 7:21,Aplikasi nya bagus. suka deh pas lgi bte suka nonton tiktok pokonya tiktok hiburan buat kita..jadi harus download yyy guys jangan ketingalan yyyy guyssss❤️🎉buat cewe cewe yang baru di putusin pacar jangan galau kalau galau nonton aja tiktok pasti ga akan galau lgi sumpah ✌️karena di tiktok banyak video video lucu dan viral guys jadi jangan lupa buat download applikasi tiktok yy yang lagi patah hati💔 buruan download tiktok dan nikmati lah keistimewahnya tiktok.. sekian terimakasih love you 😘✌
Alvesmesquita Dracula,5,5/9/2022 7:47,Sumpah bagus bnget...... Tapi ko video gw g bisa fyp yaaa.. udah gw kasih bingtan 5 aja gapapa karna video banyak yang gw suka di tiktok
Rani Rani,1,5/9/2022 2:58,1 j dulu.. sy masih masih marah.. akun yg dulu di blok sama admin tiktok.. padahal vidio sy semuanya kgk ad yg mekanggar.
Arif Hamdani,1,5/7/2022 7:32,"Pengguna tiktok semakin berbahaya, banyak adegan adegan yang 18 tahun keatas"
Sinta Wati,1,5/6/2022 21:57,Lumayan bisa berkarya tapi kok lemot kenapa GK bisa di upgrade / di perbarui
saa ale,3,5/5/2022 17:14,"Selamat malam. kasi rat 3 dulu soalnya aku mau ganti tanggal lahir kok malah tulisan nya kek gini ""tidak dapat mengubah tanggal lahir,untuk melanjutkan,tingkatkan aplikasi ke tiktok versi terbaru"" padahal udh di update tapi kok masih begini ya tolong dong bales."
Utjang Gryt,5,5/5/2022 3:12,"Makasih tik tok semoga kita semua bisa terhibur dan menyalurkan bakat , dan juga saling menguntungkan"
Zaki Ymn Ya,1,5/4/2022 18:30,Kenapa selalu bug tidak ada teratas
Saputra Music,5,5/4/2022 16:00,bagus dan memuaskan buat hiburan
Nur Khozin,5,5/4/2022 6:24,"Sekedar buat hiburan dan mengenal pengguna Tiktok.apabila tidak suka dengan postingan diamin aja. Di ambil yg baiknya saja,yg sekiranya bermanfaat buat diri pribadi dan buat orang lain"
Muhanad Hanad,5,5/2/2022 21:18,Kadng suka kesel dr pertmnn ratusan tp vidio nggk da yg ngliht sma skli srasa nggk brjln di list 🙄😑tp ttp suka soalnya bisa mnghibur
Diky Andri,5,4/29/2022 8:46,"Aplikasinya Sangat Bagus, Cocok Buat Konten Creator Pemula, Dan Filter Buat Videonya Cukup Banyak."
Helda Wati,1,4/28/2022 21:17,"Sepengatahuan saya tik tok ini dibuat oleh cina untuk membangkangkan akal manusia, seperti pintar menjadi bongol. Maaf saya hanya memberi bintang1karena saya tidak mau terpengaruh oleh aplikasi ini. Saya hanya memberitahu, tapi saya tidak meng instal nya. Ini bukan hoaks tapi ini fakta"
MJaiyBadi Badi,5,4/27/2022 0:05,Makasih tiktok .anda menghibur kami.moga selalu sukses dan sehat selalu semuanya
KOCAK Gaming,5,4/26/2022 3:47,Ini bagus banget sih buat berkarya dan banyak bet fitur nya dan yang paling gw suka itu di beranda ada video ooaim diketu ngakak bet sih keren dah
Evita Vidia,3,4/25/2022 8:52,Tik tok emang kren tapi knp aku gk bisa daftar ya? Kalo aku daftar ada tulisan sepertinya anda tidak memenuhi syarat dari tik tok
Bocil Sultan,1,4/21/2022 22:54,"akun di kunci udah kirim data data akunya tidak pernah di urus, paling di bls email suruh kirim data mulu padahal udah kecewaa bgt"
Feldiano Ximenes,5,4/21/2022 10:36,Aplikasinya bagus banget dan bisa membuat orang banyak bisa menunjukkan bakat mereka masing-masing di Tik Tok
Henny Susanti,5,4/21/2022 7:06,Aplikasi yang sangaaat bagus dan juga sangat menghibur apalagi kalau kita sedang lagi nggak muut Coco banget liat aplikasi ini pasti di jamin ngakak
Lapanchay 2012,5,4/20/2022 14:32,Ini sangat bagus apk nya ya padahal followers saya sedikit tapi gapapa😄
Suri Yanto,5,4/20/2022 5:18,Sangat terhibur dan mendapat informasi
Yusril Toyu,5,4/18/2022 3:05,Aplikasi nya bagus banget 👍 meski pun suka nyelk sih tapi gk papa ku kasih 5 bintang ⭐
ZUXRY RIYAN,5,4/18/2022 2:33,"Kenapa aku post di tik tok tidak hd, padahal video yg mau aku post dah hd!?"
Thiethie Marsha phejuang nafkah,1,4/17/2022 2:13,Knapa akun tiktok saya ga bsa d buka udh 5 bulan lbih dan ga bsa bkin akun bru tiktok lg ..
Inka Aulya indriani,5,4/14/2022 21:47,Apk nya tuh bangus tapi lama banget memuat nya...😤❤️
Emis Putri,1,4/10/2022 14:49,Kenapa sya tidak bisa download check out tiktok shop nya selalu muncul percobaan terlalu banyak kenapa yah? Tolong dong diperbaiki yahh Nanti kalau udah bisa aku kasik bintang 5
Giftalok Alokgift,2,4/7/2022 13:34,Tolong dong masa pen login akun kgk bisa aneh tolong di perbaiki
Ignes Yaneswari,5,4/4/2022 5:47,Bang gua kalo dowload pasti menginstalnya lama banget knp ya
Jsants GomesSil,5,4/2/2022 17:59,"Aplikasi yang selalu menghibur, dan aplikasinya sangat bagus👍, video2 yg menarik..."
putri jannawari,5,4/1/2022 13:10,Kenapa hp saya mati terus setelah update tiktok ya...
Sweet Banana,3,3/31/2022 18:31,"Aturan terlalu ketat, sehingga mau upload konten apapun jadi takut karena aturan yg terlalu sensitif"
Rahmadani Fitri Yanti,1,3/31/2022 15:04,Alh tiktik ini di download hanya bisa sampai 99% percuma gw download nya kalau kek gitu
Nilson Tils,4,3/28/2022 13:52,Semoga fitur fitur nya yang kekinian soalnya tiktok saya versi yang lama
Nia Puspitasari,5,3/28/2022 7:12,Bagus banget..dan gampang tuk mengambil video video yg berceramah
Jean Klau,4,3/25/2022 12:03,Enak banget dipake edit Semoga bisa ada versi untuk edit yang l nih pro lagi
Nazario Siqueira,5,3/25/2022 0:12,𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚 𝐣𝐞𝐥𝐞𝐤 𝐛𝐚𝐧𝐠𝐚𝐭..........!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!….....…........................𝐓𝐚𝐩𝐢 𝐛𝐨𝐡𝐨𝐧𝐠..! 𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚 𝐬𝐚𝐧𝐠𝐚𝐭 𝐛𝐚𝐠𝐮𝐬 𝐝𝐚𝐧 𝐬𝐚𝐧𝐠𝐚𝐭 𝐦𝐞𝐧𝐠𝐡𝐢𝐛𝐮𝐫👌
Neli Wulansari,5,3/24/2022 13:28,Banyak ilmu yang didapat dan untuk pengalaman kita disetiap waktu bisa disimpan dengan aman.
Zarkasi Zarkasi,4,3/21/2022 6:00,Sangat bagus dan pake lagu apapun TDK kena copyright...
Mar'atus Sholiha,5,3/20/2022 8:50,Tiktok sangat bagus buat membantu toko online saya.. Suksess selalu yaa..
Safitri Utina,5,3/20/2022 6:08,"Aplikasi ini sangat bagus, jika digunakan dengan baik tiktok akan jadi aplikasi terbaik untuk saling berkomunikasi dan berkarya sesuai minat dan bakat masing2 pengguna tiktok."
ranran chanel,3,3/18/2022 7:19,Gua beri bintang 3 aja soalnya mb tik tok terlalu besar tolong kecil kan kasihan yang hp nya masih samsung/dll klo mb kecil gua kasi bintang full!
Muhammad Ilmi,5,3/17/2022 3:25,Keren tapi tolong dong kadang2 datang eror nya gak bisa like dan koment ..
Milka Dolika,4,3/16/2022 17:10,sangat bagus karna bisa belanja dan ongkirnya sangat murah
Tapel Santos,5,3/15/2022 17:17,Aku hanya bisa dilakukan di dalam negeri maupun di luar ruangan rambut pirang dan bermata biru tua metalik klinik di dalam tubuh kita akan membahas dan juga para ahli di bidang pendidikan SMA dan MA kelas yang di jual dari mama dan papaku akan lebih baik lagi di telinga para pemain los Blancos julukan sebagai berikut video s1 Taba Penanjung di dunia dan menyiapkan dan bin soal to save me erti to download lagu l di dunia ini tidak ada lagi yang harus dilakukan dengan berbagai cara untuk kanan di
NURMALA PUTRI,4,3/15/2022 7:03,setiap habis di updated selalu ada yg baru
Aqshal Fath,5,3/15/2022 4:59,"Terimakasih aplikasinya bagus banget bikin wawasanku tambah luas. Dari tiktok kita bisa belajar mana yang benar dan mana yang salah, tapi tergantung fyp sih"
Zafira YDSA,3,3/13/2022 22:00,Bagus juga buat sarana hiiburan & Informasi
rishya cruz,1,3/12/2022 7:10,"Kenapa yah akun saya selaluh di blokir,padahal saya cumang buat video kayak biasa doang kok di blokir please di perbaiki"
Rikha,3,3/10/2022 3:42,"Pas di download emang 61mb tpi jarak beberapa hari jadi 0,90gb😖"
Rani Mulyani,2,3/7/2022 10:07,"Saya baru mempunyai aplikasi ini, saya mau coba dulu kasih bintang 2. Kalau bagus dan menyenangkan. Saya kasih bintang 5 👍"
Joan Galut,2,3/6/2022 7:33,Bagus sekali ada juga motifasi tetapi ada juga yang sala mengunakan
Ri Ri,1,3/5/2022 12:22,Kok vidio saya gak bisa di posting setiap mau pos pasti masuknya ke draft teruss tolong perbaiki ya😡🙏🏻
Grace Torus,4,3/4/2022 13:37,Aku udah donlod tapi kok gk bisa ya lama apa karena hp ku samsung?jadi kurang suka hheheheheh
idelino dacandrade,5,3/4/2022 8:04,Apk ini sangat bagus karena bisa menghibur kita dalam segalahal Ada jga motivasi Saya kasi bintang 5
Omah Gaul,5,3/3/2022 16:46,Bagus sangat mudah untuk dimengerti
Mutiara Nurfadilah,5,3/1/2022 5:46,Biar bintang yang berbicara 😊 ehh lupa mana bisa ngomong ya tapi pesan dari aku sih bagus beutttttttttttttttt
Hilda Widya,2,3/1/2022 3:49,Tertarik tapi tidak bisa nyoba filter yang ikan hiu sama kura kura
Safik Grunge,5,2/28/2022 7:57,Sangat puas bisa hemat kuota
Mella Lim,5,2/27/2022 17:26,Tik tok sangat bagus buat hiburan tetapi banyak yang di salah gunakan karena masalah negara saling bakar bendera tolong kasih peringatan jangan bawa bawa negara atau bendera negara dalam membuat video tik tok
Nayla Tulzaki,4,2/24/2022 11:41,Bagus banget tiktok ini bisa buat vidio bisa komen bisa like bisa buat evek bisa vidio kol dan bisa chat sama teman baru aku kasih bintang empat
Adit Ocit,1,2/22/2022 18:24,Kenapa aplikasi tiktok ini lama di pasang sampai 1jam anj*ng
Gabriella Rempas_,5,2/21/2022 1:48,Aplikasi ini sangat berguna sekali!tapi baru download dan buka 5 menit chace sudah 500mb ntah kenapa:(( tolong perbaiki
Kasri yani,5,2/20/2022 16:54,Bisa menyalurkan hobi dalam membuat konten👍👍👍👍👌👌👌
Mariam Mariyummy Channel,5,2/19/2022 17:48,"Suka banget sama aplikasi ini sangat menghibur dan menyenangkan, semoga semakin berkembang lagi untuk ke depannya"
Elly Mahriyani,5,2/18/2022 21:50,"Dengan aplikasi tik tok ini, sy jd sangt trhibur, tik tok lh mnjdi hiburan sy,"
Ngasik Udin,5,2/18/2022 15:36,"Sangat Menghibur Meng Edukasi, mensosialisasi"
Mahmudi Hba,1,2/17/2022 10:05,"Aplikasi ini tidak jelas ,tidak bisa membayar terus ,bahkan sistem nya penuh curiga ,padahal hp baru"
Fitri Yani,5,2/17/2022 7:09,Suka bnget SMA aplikasi ini bagus dan sangat menghibur
Mentor_LB9_B_06_Marlina,3,2/13/2022 2:42,"bnyk iklan, nge-lag, ga suka font ny, fyp nya ska muncul yg gjelas, lebih suka pke tiktok lite"
pitaloka Lestari,5,2/11/2022 21:15,Emng bagus kenapa klau atm mada di masukin gk bisa sih q juga mau dapat uang dari tiktok.. Tolong dong
Paul Anjos Soares,5,2/11/2022 14:27,Aku suka sekali tiktok karna kita bisa lihat artis Korea tercantik
Rohana Anna,5,2/10/2022 11:45,Menurut aku lumayan sih tapi agak lama instal nya aku kan orang nya gak sabaran
Kusumo Pratiwiningrum,5,2/6/2022 0:36,Sangat bagus ! Aku menyukainya ! Karna aku bisa melihat di beranda ku apa yang ku search di tiktok ! Fav banget dechhh ! Yukk di download ! Jangan ragu-ragu download tiktok ! 100% kamu akan senang ! Sekian ulasan dari aku ! GBU
argivani argun,5,2/4/2022 16:40,"Aplikasi yang sangat bagus bisa ngobrol sama teman-teman, curhat-curhat bisa ketawa."
vino novit,5,2/1/2022 14:55,Ok baiklah bagus appnya tapi banyak cringe ama misinformasi jadi gw gak dowload.tapi bagus kalau yah mungkin yah menyenangkan.good app.
Erna Lee,5,1/31/2022 7:02,Suka aja untuk hiburan kalo lagi kesel
Jenever Dos Santos,5,1/30/2022 23:39,Aplikasi ter the best Yang ada dan bermanfaat bagi semua orang.
Hoday Soares,5,1/30/2022 11:53,aku suka aplikasi ini karena aku bisa menonton banyak bangat video di aplikasi ini dan aku bisa menbuat akun ku sendiri
Fredi Ferdiansyah,5,1/23/2022 17:26,Menambah wawasan juga pengetahuan yg kita sendiri belum tahu dan juga mengenal berita di negara luar selain di negara sendiri
Riana Safitri,5,1/22/2022 13:28,Bisa berbagi pengetahuan dll. Best the buat tik toknya.
Ai. Iko86,5,1/21/2022 4:15,Terima kasih tiktok karena lebih mudah mendekatkan persahabatan dari berbagai macam daerah the best 👍
Agostinha Viana,5,1/17/2022 1:30,"Aku bisa mempunyai teman dari berbagai negara, Bisa mendapatkan pengetahuan banyak yang aku nga tau selama ini dan bisa membantu aku segala sesuatu yang aku sembunyikan selama ini seperti bisa dansa.. Dan bisa bikin ditiku bahagia❤❤👌 Pokoknya love. Love ..love ❤❤💋💋💋 Untuk aplikasi tiktok"
Ridwan efendi efendi,5,1/15/2022 2:52,Apalikasi nya baguss bangettt dolwload cepatan bagus banget loo nyesel kalau gak dowload si ni apalikasi
frsd,5,1/14/2022 14:01,"tiktok makin bagus, kalau bisa banyak-banyak gratis ongkir ya"
As As,5,1/13/2022 19:20,Sangat asyik unik dan menyenangkan
Mamah Rara,5,1/12/2022 7:35,Adanya tiktok duniaku terasa muda kmbli😃pokoknya bisa mnghibur....sllu ambil yg brsift positif ny aja🤗trimksih tiktok🙏❤
Afifah Indratya,5,1/10/2022 15:28,Aplikasi yg bermanfaat. Terus pertahankan. Dan sering2 kasih voucher free ongkir utk tiktok shop. Biar makin laris dagangan saya🙏
Rabik Lia,3,1/5/2022 1:13,Tolong ke pada tik tok udh hampir.2 tahun main tik tok akun GK pernah berkembang bahkan yang liat Vidio tik tok ku paling banyak 140 tayangan 😫 miris..
Sudarmi Jiyamto,5,1/4/2022 23:52,"Bagus banyak peminat, mudah di akses, dulu aku mimpi sekarang jadi kenyataan bisa menggunakan tik tok salam bos tik tok,, terimakasih semoga aku banyak yg kasih like dan following,,"
Nadiya Fanesa,5,1/2/2022 23:29,Menghilangkan rasa lelah🤗 dan sangat terhibur
Agil Fire,4,12/31/2021 10:06,Bng?kenapa akun saya tidak bisa muter bng? Padahal sudah di reset hp gua bng? Gua udh susah payh untuk bisa dapetin uang di apk ini tapi ? Ujung-ujung nya gak bisa😢😢😢 tolong di perbaikin ya bng yg buat apk ini😢😢
Bergitha Olin,5,12/31/2021 0:21,Saya sangat suka sekali dengan aplikasi ini.Pokoknya seru deh.Pokoknya saya kasi 5 bingtan deh😘🤗.
Marcela Soares,5,12/30/2021 3:26,Apk nya bagus banget.......tapi tolong di buka blokir nya karena saya sangat membutuhkan akun ini yanh bernama itsyourbeby🔥 sekali lagi saya mohon maaf jika saya ada membuat kesalahan di tiktok
Fitri Dewi,5,12/29/2021 13:06,Terhibur dengan berita dan content
Yesinta lovihan,5,12/27/2021 10:48,"Sangat baik,memberikan vidio yg menarik dan manfaat"
Dize Winder,5,12/26/2021 9:49,Aplikasinya membantu banget pokoknya the best deh buat tik tok!!!!! Ayo!segera download aplikasi tiktok!
Mbak Enok Vlog,5,12/25/2021 6:50,Sangat menyenangkan dan menghilangkan kejenuhan
Ai Arimbi Cianjur,5,12/20/2021 10:05,Aplikasi bagus banget mengahibur dan sangat menyenangkan
7D_Gregorius Travin Suryanto,2,12/19/2021 4:11,"Aplikasi sampah!suruh masukkin tanggal lahir salah.kan betul,malah salah,aplikasi gak guna!!!!! .mending dihapus aja dari playstore Semoga app ini dihapus dari playstore. Amin!!!"
Merlinda Merlinda,5,12/17/2021 14:02,Aplikasi ini sangat bagus!!! Dan berguna banget bisa menghibur juga🙂
Winata Ryan34,5,12/17/2021 3:10,Jangan sering2 perbaruan kasihan yg hp ramnya kecil🙏🙏
Resti mojang,5,12/14/2021 20:55,Hy tim tiktok saya tidak bisa masuk tiktok Yaang lama karena saya Dullu daptar tiktok lewat akun Facebook dan sekarang Facebook tidak bisa di buka
Albadry Ilianz,5,12/14/2021 2:13,Aflikasi ini bagus banget dapat memperbanyakan tman dan banyak juga pengalaman yg kita dpat
Ruwanto07 Anto07,3,12/11/2021 12:40,"Aplikasi ini sagat bagus, bs untuk ngurangi stres dan bs cr bnyk tmn"
Ulfa Sahari,5,12/10/2021 17:05,Bagus pengen ada sounds yg 3 menit full ...
Rosalina Marques,4,12/8/2021 0:27,Aplikasinya bagusss tapi jangan langsun di banned akun orang kalo ada kesalahan tolong diberi peringatan terlebihi dahulu
Jose Martins,5,12/6/2021 23:40,Wow aplikasi ini sangat bagus karna bisa buat musik sampai selesai😊😊😊
Ihsan Kamil,1,12/4/2021 5:46,"Tiktok, aku kena ban selamanya, aku coba bikin akun baru juga kena ban, 4x akun baru aku di ban, gabisa liat vidio, udh download ulang masih aja, tolong bantu dong:(, semua akun saya di ban, padahal ga belum ada upload video apapun, plis kembalikan akun aku, semoga dijawab"
Aldio Asbentian,5,12/3/2021 4:09,Adegan yang mana nih gan ane mau jual beli di lokasimu tersedia banyak iklan telepon genggam atau nggak master dealer pulsa murah di Jakarta dan sekitarnya di dunia v kah kau WIB di kampus universitas Gunadarma yang ingin berteman di Facebook down jadi tunggu apa lagi kalau bukan karena dia adalah seorang yang mana merupakan salah satu angkatan laut dan tidak mengikuti kami ada di dunia
Sumarni Sasha,3,12/2/2021 8:16,"Tolong dong kenapa dengan tiktok saya, setiap live orang lain ga bisa join, dan saya mau join ke orang lain pun tidak bisa.."
Elly Ermawati,5,12/1/2021 6:18,"Alhamdulillah,bnyk pljrn yg bisa kita petik dg adanya tiktok,yg ga tau jd tau,berbagi ilmu tnpa harus mrsa bosan.smg utk kdepannya tiktok smkin maju,prbnyak konten2 yg mendidik itu lbh bagus,jd pd saat ank2 ikut mng instal aplikasi ini,kita sbg org tua tidak was2."
Sahna Bt Dolak,1,12/1/2021 5:56,Kenapa tik tok sy di blocker Padahal tidak melakukan kesalah cuman MEMBELA flag negara kami🇮🇩 dasar tidak adil...aku kasih bintang 1...besok kalau udah aktip tik tok ku aku kasih bintang 5🤯
firdanmanggalap,1,11/29/2021 12:46,"Ga bisa login, Frekuensi kunjungan terlalu sering. Apa apaan si ga guna tolong di fix juga di tik tok lite dari dulu ga ada kemajuan"
Rahmat Hidayat,4,11/28/2021 10:22,"Klo pake efek nya pas mau ngabil ke galeri ko cuma yg bisa geser ke bahah ja, galeri biyasa ja yg diem."
RAFFI gaming,1,11/28/2021 3:33,"Sangat jelek gk guna, masa gua udah kirim surat pernyataan tapi gk di baca......... ...............................apa lihat kan emang iz"
Wahyu Chandra Utama,5,11/28/2021 3:08,Apk in cocok yg suka gabut sendiri cari aj yg lucu2!!!!!!!!!!!!!!!!!
Jemicson Barros De lima,5,11/27/2021 7:31,Aplikasi nia bagus bnget. Kalo bahasa japan. Furak at liu
Gethy Martins,5,11/24/2021 13:22,Aplksi bermanfat sekali buat saya 😍 dan saya sangat suka sma apliksi ini ...semoga bermanfat untuk semua orang yeah
